,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
45,463161,Male,No,35,Yes,Artist,1,Low,2,Cat_3,A
46,460192,Male,Yes,41,Yes,,0,Low,2,Cat_7,D
47,461759,Male,Yes,49,Yes,Artist,1,Low,2,Cat_6,C
48,460629,Female,Yes,36,Yes,Entertainment,,Average,3,Cat_3,B
49,465817,Male,Yes,56,No,Executive,0,Low,2,Cat_4,A
50,459460,Male,No,55,No,Lawyer,,Low,1,Cat_1,D
51,462112,Male,Yes,78,Yes,Lawyer,1,Low,1,Cat_6,D
52,465463,Female,No,28,No,Doctor,,Low,5,Cat_2,A
53,461765,Female,No,36,Yes,Artist,1,Low,1,Cat_6,A
54,463208,Male,Yes,57,Yes,Executive,1,Average,5,Cat_6,C
55,461340,Male,Yes,36,Yes,Artist,4,Average,2,Cat_7,B
56,465337,Female,Yes,43,No,Engineer,1,Low,3,Cat_7,A
57,462209,Female,Yes,41,No,Artist,0,Low,1,Cat_4,B
58,467455,Female,No,37,Yes,Artist,8,Low,2,Cat_6,C
59,459702,Female,Yes,62,Yes,Lawyer,1,Low,3,Cat_6,A
60,465923,Female,No,28,Yes,Engineer,9,Low,5,Cat_6,A
61,459953,Male,Yes,50,Yes,Artist,8,Low,2,Cat_6,D
62,463443,Male,Yes,50,Yes,Artist,1,Average,4,Cat_6,C
63,466625,Male,Yes,49,Yes,Artist,0,Average,2,Cat_7,C
64,461433,Male,Yes,70,Yes,Doctor,1,High,3,Cat_6,C
65,460427,Male,Yes,46,Yes,Artist,1,Average,3,Cat_6,C
66,464599,Female,Yes,50,Yes,Artist,1,High,7,Cat_2,B
67,459732,Male,Yes,72,Yes,Executive,1,High,5,Cat_6,A
68,466285,Female,No,19,No,Healthcare,1,Low,5,Cat_2,D
69,461494,Male,Yes,27,No,Engineer,0,Average,2,Cat_6,D
70,465991,Female,No,38,Yes,Healthcare,0,Low,5,Cat_6,D
71,462936,Female,No,43,Yes,Engineer,,Low,1,Cat_6,A
72,464835,Male,No,20,No,Healthcare,0,Low,6,Cat_4,D
73,462927,Female,No,33,No,Homemaker,8,Low,2,Cat_6,D
74,461106,Male,No,18,No,Healthcare,1,Low,4,Cat_3,D
75,462488,Male,No,33,Yes,Healthcare,0,Low,5,Cat_6,D
76,459653,Female,No,25,Yes,,8,Low,1,Cat_6,D
77,463577,Female,Yes,41,Yes,Doctor,1,Average,2,Cat_6,D
78,461387,Female,No,22,No,Healthcare,5,Low,3,Cat_2,D
79,459044,Male,Yes,38,Yes,Artist,4,Average,3,Cat_6,C
80,463245,Male,Yes,37,Yes,Entertainment,9,Average,2,Cat_6,A
81,460964,Male,Yes,84,No,Lawyer,1,High,2,Cat_6,A
82,460796,Male,Yes,67,No,Lawyer,0,Low,3,Cat_6,B
83,462080,Female,No,42,Yes,Artist,8,Low,1,Cat_6,C
84,466693,Male,No,23,No,Healthcare,0,Low,2,Cat_6,D
85,462954,Female,Yes,48,Yes,Homemaker,12,Low,1,Cat_6,A
86,462672,Male,No,25,No,Healthcare,7,Low,4,Cat_4,D
87,466590,Female,No,27,Yes,Healthcare,0,Low,4,Cat_6,C
88,459192,Male,Yes,35,Yes,Artist,3,Average,3,Cat_6,C
89,461774,Female,Yes,81,Yes,Lawyer,1,High,3,Cat_6,B
90,459554,Female,No,25,No,Engineer,8,Low,3,Cat_6,D
91,460233,Male,No,43,Yes,Doctor,0,Low,,Cat_6,D
92,465921,Female,No,25,Yes,Artist,8,Low,1,Cat_6,B
93,463000,Female,No,36,No,Engineer,0,Low,1,Cat_6,A
94,459418,Male,Yes,66,No,Executive,1,High,2,Cat_6,D
95,467591,Female,Yes,41,Yes,Artist,1,High,5,Cat_7,B
96,463203,Female,No,21,No,Healthcare,1,Low,3,Cat_7,A
97,460923,Male,Yes,53,Yes,Artist,0,Average,3,Cat_6,A
98,467482,Male,Yes,38,Yes,Executive,0,High,3,Cat_6,C
99,463214,Female,No,25,No,Engineer,1,Low,1,Cat_6,A
100,462211,Male,No,18,No,Healthcare,1,Low,3,Cat_4,D
101,465371,Female,No,41,Yes,Artist,1,Low,1,Cat_6,A
102,463982,Female,No,25,Yes,Healthcare,,Low,2,Cat_4,A
103,465838,Female,Yes,52,No,Doctor,3,Average,2,Cat_6,A
104,466670,Male,Yes,29,Yes,Healthcare,2,Average,2,Cat_2,B
105,461941,Female,Yes,70,Yes,Artist,1,Low,1,Cat_6,C
106,459507,Male,Yes,69,No,Lawyer,,High,2,Cat_1,D
107,466704,Male,Yes,48,Yes,Doctor,3,Average,2,Cat_6,D
108,460748,Female,Yes,60,No,Engineer,0,Low,2,Cat_3,A
109,462595,Female,No,33,Yes,Artist,7,Low,7,Cat_4,A
110,459746,Male,,59,Yes,Artist,1,Average,2,Cat_6,B
111,465131,Female,Yes,87,No,Lawyer,0,Low,1,Cat_6,C
112,462943,Male,Yes,61,Yes,Executive,5,High,2,Cat_6,B
113,464413,Female,Yes,36,Yes,Engineer,0,Low,1,Cat_3,B
114,464819,Female,Yes,67,Yes,Lawyer,1,Low,1,Cat_4,A
115,461412,Female,Yes,41,Yes,Artist,5,High,3,Cat_5,B
116,465320,Female,Yes,65,Yes,Lawyer,1,Average,2,Cat_6,B
117,465727,Male,No,40,No,Marketing,0,Low,5,Cat_4,B
118,461989,Female,,60,Yes,Engineer,1,Average,4,Cat_2,B
119,462927,Female,No,26,No,Homemaker,9,Low,2,Cat_6,A
120,462224,Female,Yes,63,No,Engineer,4,Average,8,Cat_4,D
121,464320,Male,Yes,74,No,Lawyer,0,High,2,Cat_6,A
122,461278,Male,No,23,No,Healthcare,1,Low,4,Cat_6,D
123,461929,Male,Yes,63,Yes,Entertainment,0,Low,1,Cat_6,A
124,461103,Female,No,30,No,Engineer,1,Low,5,Cat_3,D
125,459212,Female,Yes,68,Yes,Artist,1,Average,2,Cat_6,C
126,460507,Male,No,31,No,Doctor,0,Low,4,Cat_3,A
127,464034,Male,Yes,37,Yes,Entertainment,3,Low,1,Cat_6,A
128,464993,Male,Yes,57,No,Executive,4,High,4,Cat_6,C
129,459204,Female,Yes,35,Yes,Engineer,0,Average,2,Cat_6,B
130,462993,Male,Yes,30,No,Artist,,Average,3,Cat_6,B
131,466069,Female,Yes,49,Yes,Artist,0,High,4,,B
132,460141,Male,No,35,Yes,Artist,13,Low,1,Cat_6,B
133,461443,Female,Yes,70,Yes,Artist,1,Average,2,Cat_6,C
134,459499,Female,Yes,79,No,Lawyer,,High,2,Cat_6,C
135,465870,Male,No,40,Yes,Artist,5,Low,2,Cat_6,A
136,464783,Male,Yes,42,No,Entertainment,0,Low,3,Cat_4,A
137,461512,Male,No,33,Yes,Doctor,,Low,4,Cat_6,D
138,462802,Female,Yes,39,Yes,Artist,,Average,4,Cat_4,D
139,466484,Female,Yes,52,No,Executive,1,Low,1,Cat_3,A
140,458998,Male,Yes,37,No,Doctor,9,Low,2,Cat_6,D
141,467352,Male,Yes,51,Yes,Executive,1,High,4,Cat_6,C
142,467194,Male,No,29,No,Entertainment,,Low,3,Cat_6,D
143,463238,Male,No,22,No,Healthcare,0,Low,5,Cat_6,D
144,465656,Male,Yes,81,No,Lawyer,1,Low,,Cat_6,A
145,459222,Female,Yes,68,Yes,Artist,1,Average,3,Cat_6,C
146,461269,Male,No,18,No,Entertainment,0,Low,4,Cat_4,B
147,460086,Male,Yes,50,No,Artist,1,Average,3,Cat_6,C
148,467415,Female,No,31,Yes,Healthcare,1,Low,1,Cat_6,D
149,467123,Female,Yes,50,Yes,Executive,4,High,3,Cat_6,B
150,464524,Female,Yes,27,No,Marketing,1,Low,2,Cat_6,A
151,463110,Male,Yes,68,No,Executive,1,High,2,Cat_6,A
152,461813,Male,No,29,Yes,Healthcare,1,Low,2,Cat_3,D
153,467461,Female,Yes,45,Yes,Artist,8,High,3,Cat_6,B
154,459961,Male,Yes,48,Yes,Artist,8,Low,3,Cat_2,B
155,467117,Male,No,48,Yes,Artist,0,Low,1,Cat_6,A
156,461675,Male,No,61,Yes,Lawyer,1,Low,1,Cat_6,C
157,467650,Male,Yes,52,Yes,Artist,2,Average,4,Cat_6,A
158,460921,Male,Yes,45,No,Executive,1,High,3,Cat_6,C
159,459471,Female,No,30,No,Artist,,Low,8,Cat_6,A
160,459364,Female,Yes,76,Yes,Marketing,0,Low,2,Cat_6,B
161,464999,Male,Yes,66,Yes,Lawyer,1,High,2,Cat_6,C
162,459825,Male,No,20,No,Healthcare,0,Low,5,Cat_2,D
163,464171,Female,Yes,61,Yes,Artist,0,Low,1,Cat_6,C
164,460727,Male,Yes,73,No,Executive,1,High,4,Cat_3,B
165,467876,Female,Yes,47,Yes,Artist,8,High,2,Cat_6,C
166,459949,Female,No,59,Yes,Artist,0,Low,1,Cat_6,C
167,463387,Male,,20,No,Marketing,3,Low,2,Cat_3,C
168,461356,Male,No,28,Yes,Entertainment,1,Low,2,Cat_6,B
169,460370,Female,Yes,28,Yes,Executive,8,High,2,Cat_6,C
170,462559,Female,Yes,47,Yes,Engineer,9,Average,4,Cat_2,C
171,465473,Female,No,55,Yes,Artist,3,Low,1,Cat_6,A
172,464201,Female,No,30,No,Healthcare,0,Low,9,Cat_6,C
173,463748,Male,No,20,No,Healthcare,1,Low,3,Cat_6,D
174,460396,Female,Yes,41,Yes,Entertainment,9,Low,1,Cat_7,D
175,460648,Female,,29,No,Homemaker,8,Low,1,Cat_5,D
176,460625,Female,No,28,No,Marketing,9,Low,2,Cat_3,D
177,460229,Female,Yes,68,Yes,Lawyer,2,High,2,Cat_6,C
178,466049,Female,No,25,Yes,Doctor,0,Low,1,Cat_4,A
179,463090,Female,Yes,55,No,Engineer,3,Average,2,Cat_6,D
180,467695,Male,Yes,43,No,Marketing,1,Low,2,Cat_7,D
181,466739,Male,No,31,No,Healthcare,0,Low,,Cat_6,D
182,464938,Male,Yes,46,No,Artist,0,Low,3,Cat_4,A
183,463640,Male,No,28,Yes,Healthcare,0,Low,3,Cat_6,A
184,463711,Female,Yes,68,Yes,Lawyer,3,Low,1,Cat_6,A
185,459379,Female,No,19,No,Healthcare,3,Low,3,Cat_6,D
186,466541,Male,No,38,Yes,Entertainment,0,Low,4,Cat_6,A
187,467290,Female,No,23,No,Healthcare,0,Low,,Cat_6,D
188,466898,Male,Yes,45,Yes,Executive,0,High,4,Cat_6,B
189,464736,Male,No,28,Yes,Engineer,0,Low,5,Cat_4,D
190,464841,Male,,19,No,Entertainment,0,High,3,Cat_4,D
191,466964,Male,No,45,Yes,Artist,5,Low,1,Cat_4,C
192,460450,Male,Yes,52,Yes,Executive,1,High,4,Cat_4,B
193,466336,Male,,23,No,Healthcare,3,Low,4,Cat_4,D
194,466297,Female,No,19,No,Healthcare,1,Low,4,Cat_4,A
195,460437,Female,No,26,Yes,Artist,8,Low,1,Cat_6,D
196,465079,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,D
197,463246,Female,Yes,38,No,Engineer,9,Low,2,Cat_6,A
198,461564,Male,Yes,56,Yes,Executive,1,High,2,Cat_6,A
199,466668,Female,Yes,49,Yes,Engineer,0,Low,1,Cat_2,B
200,465035,Female,Yes,83,Yes,Lawyer,13,High,2,Cat_6,B
201,464283,Male,No,40,Yes,Artist,5,Low,2,Cat_6,A
202,464608,Female,Yes,53,Yes,Artist,1,Average,3,Cat_6,B
203,460864,Female,No,20,No,Artist,0,Low,3,Cat_6,D
204,467817,Female,No,23,No,Homemaker,0,Low,5,Cat_5,B
205,462103,Female,Yes,49,No,Entertainment,9,High,2,Cat_6,A
206,465050,Male,Yes,74,Yes,Lawyer,1,High,2,Cat_6,B
207,466976,Male,Yes,47,Yes,Artist,0,Low,1,Cat_6,B
208,461121,Male,No,28,No,Doctor,0,Low,4,Cat_3,D
209,463437,Male,Yes,51,Yes,Artist,0,Average,3,Cat_6,C
210,460201,Female,No,45,Yes,Artist,2,Low,1,Cat_6,A
211,466309,Male,No,21,No,Healthcare,1,Low,4,Cat_6,D
212,465489,Female,No,53,Yes,Engineer,1,Low,5,Cat_6,D
213,464620,Female,Yes,40,Yes,Artist,0,High,2,Cat_6,A
214,465182,Female,No,65,Yes,Lawyer,0,Low,1,Cat_6,A
215,463494,Male,Yes,47,,Healthcare,,Average,4,Cat_6,D
216,464084,Male,No,25,No,Healthcare,1,Low,5,Cat_4,D
217,459669,Male,Yes,30,Yes,Artist,0,Average,2,Cat_6,B
218,459270,Male,Yes,65,Yes,Homemaker,0,High,2,Cat_6,A
219,461093,Female,Yes,38,Yes,Artist,1,Average,4,Cat_3,C
220,459620,Female,Yes,29,No,Marketing,,Low,,,D
221,467250,Male,Yes,63,Yes,Entertainment,6,Low,2,Cat_6,D
222,463550,Female,Yes,38,Yes,Artist,1,Average,2,Cat_4,C
223,464048,Female,No,38,Yes,Homemaker,4,Low,1,Cat_6,B
224,463470,Male,No,19,No,Healthcare,,Low,5,Cat_2,D
225,466306,Male,No,18,No,Healthcare,1,Low,4,Cat_6,D
226,463064,Male,Yes,33,No,Executive,9,High,2,Cat_6,D
227,464827,Female,Yes,46,No,Entertainment,9,Average,5,Cat_4,D
228,460791,Female,No,27,Yes,Engineer,9,Low,7,Cat_3,C
229,461696,Female,Yes,70,Yes,Lawyer,0,High,2,Cat_6,B
230,460770,Female,No,25,Yes,Healthcare,5,Low,3,Cat_3,A
231,459851,Male,No,45,Yes,Artist,2,Low,1,Cat_6,C
232,462463,Male,Yes,61,No,Artist,1,Average,2,Cat_6,C
233,462394,Male,Yes,35,Yes,Artist,0,Average,2,Cat_6,C
234,462683,Female,Yes,43,No,Engineer,1,Low,5,Cat_1,A
235,466008,Male,Yes,36,Yes,Artist,1,Low,2,Cat_6,C
236,461632,Male,No,25,Yes,Artist,,Low,1,Cat_6,D
237,464521,Male,No,26,No,Doctor,2,Low,4,Cat_6,B
238,466180,Male,Yes,70,No,Lawyer,0,Low,1,Cat_6,B
239,462141,Female,No,39,Yes,Artist,9,Low,1,Cat_6,C
240,461163,Female,Yes,58,No,Entertainment,9,Low,4,Cat_3,C
241,466410,Female,Yes,56,Yes,Artist,0,Low,1,Cat_6,B
242,463553,Male,No,33,Yes,Artist,8,Low,2,Cat_6,A
243,466891,Female,Yes,53,No,Homemaker,9,Low,1,Cat_6,A
244,462061,Male,No,41,No,Doctor,1,Low,3,Cat_6,B
245,466678,Male,No,28,Yes,Healthcare,1,Low,4,Cat_6,D
246,460083,Female,No,52,Yes,Artist,9,Low,1,Cat_6,B
247,464916,Female,,31,,Doctor,9,High,2,Cat_4,A
248,467666,Male,Yes,48,Yes,Executive,4,High,3,Cat_6,C
249,464225,Female,No,31,No,Doctor,1,Low,5,Cat_3,C
250,467729,Male,Yes,62,Yes,Entertainment,2,Average,6,Cat_6,A
251,462512,Female,Yes,32,No,Entertainment,,Average,2,Cat_4,B
252,462905,Female,No,25,No,Artist,6,Low,3,Cat_6,C
253,460248,Female,No,33,Yes,Healthcare,7,Low,2,Cat_6,D
254,463311,Female,No,18,No,Healthcare,0,Low,5,Cat_3,D
255,465879,Male,No,39,Yes,Artist,0,Low,1,Cat_6,A
256,460420,Female,No,37,Yes,Artist,1,Low,1,Cat_6,A
257,462117,Male,No,32,Yes,Entertainment,1,Low,2,Cat_6,D
258,463951,Male,Yes,46,No,Entertainment,0,Average,3,Cat_6,A
259,467365,Male,No,35,Yes,Artist,1,Low,1,Cat_6,D
260,460486,Female,No,18,No,Healthcare,12,Low,3,Cat_3,D
261,462931,Male,Yes,40,No,Entertainment,14,Average,3,Cat_6,D
262,461546,Female,Yes,69,No,Lawyer,0,Low,3,Cat_6,C
263,461382,Male,Yes,68,No,Executive,1,High,2,Cat_6,B
264,462623,Male,No,35,No,Healthcare,,Low,1,Cat_4,D
265,466104,Male,Yes,81,Yes,Lawyer,1,Low,1,Cat_6,B
266,459178,Male,Yes,48,Yes,Executive,0,High,5,Cat_6,C
267,461163,Female,Yes,60,No,Entertainment,9,Low,4,Cat_3,B
268,460375,Male,No,40,Yes,Doctor,4,Low,2,Cat_6,C
269,467917,Female,No,27,Yes,Healthcare,2,Low,4,Cat_1,A
270,463508,Female,Yes,25,No,Artist,0,Low,3,Cat_6,D
271,467056,Female,No,31,No,Homemaker,8,Low,1,Cat_6,A
272,464460,Female,No,26,Yes,Healthcare,1,Low,2,Cat_6,D
273,467782,Female,No,30,Yes,Entertainment,0,Low,5,Cat_2,A
274,465929,Male,No,26,Yes,Healthcare,8,Low,5,Cat_6,D
275,465974,Male,Yes,45,Yes,Executive,5,High,4,Cat_4,A
276,463716,Male,No,26,No,Doctor,1,Low,4,Cat_6,D
277,461659,Female,Yes,51,Yes,Artist,0,Average,2,Cat_6,C
278,467011,Female,Yes,77,Yes,Lawyer,,High,2,Cat_6,B
279,459467,Female,Yes,56,Yes,Artist,0,Average,2,Cat_6,B
280,460637,Female,No,19,No,Healthcare,,Low,,Cat_3,D
281,465733,Male,Yes,32,Yes,Entertainment,1,Average,2,Cat_4,B
282,464605,Female,Yes,65,Yes,Lawyer,1,Low,1,Cat_6,A
283,467527,Male,Yes,62,Yes,Artist,2,Average,4,Cat_6,B
284,465976,Male,No,40,Yes,Artist,0,Low,1,Cat_7,B
285,466343,Male,No,30,Yes,Doctor,0,Low,2,Cat_3,A
286,459222,Female,Yes,67,Yes,Artist,0,Average,3,Cat_6,A
287,459989,Male,Yes,52,Yes,Artist,6,Average,2,Cat_6,B
288,467335,Female,Yes,41,No,Engineer,4,Average,2,Cat_6,D
289,463194,Female,Yes,48,Yes,Artist,0,Average,2,Cat_3,B
290,460558,Female,Yes,36,Yes,Engineer,,Low,1,Cat_3,D
291,464828,Male,No,18,No,Healthcare,8,Low,6,Cat_4,D
292,467773,Male,Yes,70,Yes,Lawyer,1,High,3,Cat_6,C
293,466521,Male,Yes,20,,Marketing,1,Average,3,Cat_3,A
294,464076,Male,Yes,83,No,Lawyer,0,High,2,Cat_6,D
295,467338,Female,No,27,Yes,Healthcare,2,Low,6,Cat_6,D
296,467499,Male,Yes,39,Yes,Artist,,Low,3,Cat_6,A
297,459956,Female,Yes,39,Yes,Healthcare,8,Average,2,Cat_6,D
298,464453,Female,Yes,46,Yes,Artist,4,High,5,Cat_6,C
299,462477,Male,No,25,Yes,Entertainment,7,Low,3,Cat_6,A
300,466740,Female,Yes,47,No,Engineer,8,Low,1,Cat_3,A
301,466749,Male,No,22,,Healthcare,1,Low,5,Cat_3,D
302,467736,Female,Yes,79,Yes,Lawyer,4,High,,Cat_6,B
303,463987,Female,No,36,Yes,Artist,0,Low,1,Cat_6,B
304,462378,Male,Yes,67,No,Artist,1,Low,1,Cat_6,B
305,467831,Male,Yes,39,Yes,Artist,0,Average,2,Cat_6,C
306,467504,Female,,31,No,Doctor,1,Low,4,Cat_6,D
307,465820,Female,,30,Yes,,,Average,4,Cat_4,B
308,462779,Female,Yes,61,No,Marketing,,Average,,Cat_6,D
309,467009,Female,No,33,No,Homemaker,2,Low,4,Cat_3,D
310,460309,Male,No,28,Yes,Marketing,9,Low,5,Cat_7,D
311,463598,Female,Yes,25,No,Engineer,2,Low,2,Cat_6,A
312,464921,Male,Yes,39,No,Doctor,1,Average,5,Cat_4,D
313,462390,Female,No,28,No,Healthcare,0,Low,4,Cat_3,B
314,467475,Female,Yes,66,Yes,Artist,0,Average,3,Cat_6,C
315,462417,Male,No,30,No,Healthcare,4,Low,4,Cat_6,D
316,459105,Male,Yes,39,Yes,Executive,5,High,3,Cat_6,C
317,467768,Male,Yes,62,Yes,Doctor,0,Average,2,Cat_6,C
318,463665,Male,Yes,46,Yes,Entertainment,1,Average,3,Cat_6,A
319,467581,Female,Yes,33,Yes,Engineer,2,Average,2,Cat_6,D
320,463605,Female,No,23,No,Healthcare,0,Low,5,Cat_5,D
321,463257,Female,No,23,No,Healthcare,3,Low,5,Cat_6,D
322,459375,Male,Yes,22,No,Executive,0,High,4,Cat_6,A
323,466300,Female,Yes,48,Yes,Artist,0,Low,3,Cat_2,C
324,462160,Female,No,36,Yes,Artist,3,Low,3,Cat_6,C
325,459934,Male,No,49,Yes,Artist,0,Low,1,Cat_6,B
326,462433,Female,Yes,33,Yes,Doctor,0,Average,2,Cat_6,B
327,466870,Male,Yes,42,Yes,Artist,0,Average,2,Cat_6,C
328,465814,Female,Yes,50,No,Artist,0,Average,5,Cat_4,B
329,467355,Male,No,31,No,Healthcare,0,Low,4,Cat_6,D
330,466804,Female,,35,Yes,Homemaker,4,Low,1,Cat_3,B
331,465458,Female,Yes,84,Yes,Artist,1,High,2,Cat_6,A
332,466908,Male,Yes,55,Yes,Entertainment,1,Low,2,Cat_6,A
333,459087,Female,No,21,No,Doctor,0,Low,3,Cat_6,C
334,459535,Male,Yes,50,Yes,Artist,8,Average,2,Cat_6,C
335,459541,Male,Yes,59,Yes,Artist,1,High,2,Cat_6,C
336,464799,Male,No,36,No,Marketing,0,Low,4,Cat_4,B
337,467667,Male,Yes,28,No,Doctor,8,Low,2,Cat_6,A
338,460620,Male,Yes,55,Yes,Entertainment,0,Average,4,Cat_3,C
339,464752,Female,Yes,46,,Marketing,,Low,1,Cat_4,D
340,462226,Male,Yes,26,No,Artist,7,Low,4,Cat_4,A
341,466421,Male,Yes,26,No,Doctor,4,Average,3,Cat_3,D
342,462353,Female,Yes,58,Yes,Doctor,1,Average,2,Cat_6,C
343,465982,Male,Yes,41,Yes,Entertainment,0,Average,4,Cat_6,B
344,464303,Male,Yes,43,No,Artist,0,Average,2,Cat_3,B
345,461766,Female,Yes,35,Yes,Artist,1,Low,2,Cat_4,A
346,463550,Female,Yes,37,Yes,Artist,0,Average,2,Cat_4,B
347,462222,Male,No,20,No,Healthcare,1,Low,6,Cat_4,D
348,467019,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,C
349,462284,Male,Yes,48,Yes,Executive,1,Average,4,Cat_6,C
350,464590,Female,No,27,Yes,Artist,14,Low,3,Cat_6,A
351,461327,Female,Yes,35,Yes,Artist,1,Average,3,Cat_6,C
352,465623,Male,Yes,41,Yes,Artist,8,Average,2,Cat_6,C
353,466917,Male,Yes,43,No,Executive,3,Low,,Cat_6,B
354,460276,Female,Yes,41,Yes,Artist,3,Low,2,Cat_6,A
355,467458,Female,No,28,Yes,Entertainment,0,Low,2,Cat_6,D
356,464866,Female,No,23,No,Engineer,11,Low,1,Cat_3,D
357,465292,Female,No,42,Yes,Doctor,0,Low,3,Cat_6,B
358,464301,Female,Yes,51,Yes,Doctor,0,Average,3,Cat_6,B
359,462492,Male,Yes,43,No,Artist,0,Average,4,Cat_2,A
360,459772,Female,Yes,69,Yes,Artist,2,Average,9,Cat_5,C
361,467933,Female,No,23,No,Healthcare,1,Low,3,Cat_6,D
362,466382,Female,Yes,52,Yes,Engineer,4,High,2,Cat_4,B
363,465647,Male,No,31,Yes,Artist,9,Low,1,Cat_6,A
364,467263,Female,No,32,No,Marketing,,Low,1,Cat_4,D
365,461624,Female,Yes,41,Yes,Artist,1,Average,,Cat_2,B
366,465741,Female,Yes,43,Yes,Healthcare,9,Low,2,Cat_6,C
367,463757,Male,No,39,Yes,Artist,0,Low,3,Cat_6,B
368,460107,Male,Yes,48,Yes,Engineer,1,Average,5,Cat_6,C
369,459386,Male,Yes,65,No,Lawyer,1,High,2,Cat_6,C
370,465907,Female,No,31,Yes,Marketing,8,Low,,Cat_1,D
371,462398,Female,Yes,62,Yes,Artist,1,Low,4,Cat_4,C
372,461205,Male,No,26,Yes,Healthcare,,Low,3,Cat_2,D
373,461817,Female,No,25,No,Doctor,1,Low,3,Cat_6,D
374,462260,Male,Yes,76,Yes,Lawyer,1,Low,2,Cat_6,D
375,462172,Male,Yes,37,Yes,Doctor,1,Average,2,Cat_1,D
376,466554,Male,No,26,No,Healthcare,0,Low,3,Cat_6,D
377,466791,Male,Yes,88,No,Lawyer,1,Low,1,Cat_6,A
378,467294,Female,Yes,57,No,Engineer,0,Low,1,Cat_6,B
379,465318,Male,No,21,No,Doctor,6,Low,6,Cat_7,C
380,465091,Male,Yes,60,Yes,Entertainment,,Average,3,Cat_6,B
381,465446,Female,No,41,Yes,Healthcare,12,Low,1,Cat_1,A
382,463474,Male,Yes,51,No,Artist,3,Average,2,Cat_6,C
383,460975,Male,Yes,79,,Lawyer,0,High,2,Cat_6,C
384,462123,Male,No,38,Yes,Artist,0,Low,2,Cat_6,C
385,462920,Male,Yes,50,No,Executive,0,High,5,Cat_6,B
